,sign_time_us,throughput_theoretical,throughput_10ms_overhead,throughput_50ms_overhead
x86_64,146.29,6835.737234260715,98.55819220621527,19.941654706659257
ARM64,6328.16,158.02381734975097,61.243887859991574,17.75310963468361
RISC-V64,8046.93,124.27099527397405,55.411086539372626,17.227439935238607
