algorithm,architecture,operation,num_samples,mean_us,median_us,stddev_us,min_us,max_us,p95_us,p99_us
mlkem768,native,keygen,880,20.89,21.29,1.38,16.42,24.90,22.62,23.54
mlkem768,native,encaps,989,18.19,16.90,3.96,14.23,31.67,24.66,28.87
mlkem768,native,decaps,980,18.22,16.63,2.71,16.18,26.54,23.45,24.80
