algorithm,architecture,operation,num_samples,mean_us,median_us,stddev_us,min_us,max_us,p95_us,p99_us
mldsa44,native,keygen,812,28.08,28.05,0.89,26.10,31.88,29.89,31.38
mldsa44,native,sign,945,70.93,61.35,31.92,36.02,166.01,137.19,161.50
mldsa44,native,verify,820,26.82,26.36,1.42,25.27,33.40,29.88,31.93
